name,type,wattage
Kolink KL-600,ATX,600
Kolink KL-600M,ATX,600
Kolink KL-700,ATX,700
Kolink KL-700M,ATX,700
Kolink KL-850M,ATX,850
Kolink Modular Power 80 PLUS Bronze,ATX,600
Kolink Modular Power 80 PLUS Bronze,ATX,700
Kolink Modular Power 80 PLUS Bronze,ATX,500
Kolink Modular Power 80 PLUS Bronze,ATX,850
Kolink SFX-450,SFX,450
Lian Li PE-550B SFX-L,SFX-L,550
Lian Li PE-750B SFX-L,SFX-L,750
Lian Li SP750,SFX,750
Lian Li SP750,SFX,750
Lian Li SP850,SFX,850
Lian Li SP850,SFX,850
Montech Century G5 80 PLUS Gold,ATX,750
Montech Titan 1000W - 80 PLUS & Cybenetics Gold,ATX,1000
Montech Titan 1200W - 80 PLUS & Cybenetics Gold,ATX,1200
Montech Titan 850W - 80 PLUS & Cybenetics Gold,ATX,850
MSI MAG A550BN,ATX,550
MSI MAG A650BN,ATX,650
MSI MAG A750BN PCIe5,ATX,750
MSI MAG A750GL PCIe5,ATX,750
MSI MAG A850GL PCIe5,ATX,850
MSI MAG A850GL PCIe5 White,ATX,850
MSI MEG Ai1300P PCIe5,ATX,1300
MSI MPG A1000G PCIe5,ATX,1000
MSI MPG A650GF,ATX,650
MSI MPG A750GF,ATX,750
