name,price
GIGABYTE GeForce RTX 4070 Ti Gaming OC,899.99
GIGABYTE GeForce RTX 4070 Ti Super Aero OC,849.99
GIGABYTE GeForce RTX 4070 Ti Super Eagle OC,819.99
GIGABYTE GeForce RTX 4070 Ti Super Gaming OC,821.0
GIGABYTE GeForce RTX 4070 Ti Super Windforce OC,799.99
GIGABYTE GeForce RTX 4070 WindForce 3X OC,549.99
GIGABYTE GeForce RTX 4080 Aero OC,1299.99
GIGABYTE GeForce RTX 4080 Eagle,1199.0
GIGABYTE GeForce RTX 4080 Eagle OC,1115.99
GIGABYTE GeForce RTX 4080 Gaming OC,1206.99
GIGABYTE GeForce RTX 4080 Super Aero OC,1099.97
GIGABYTE GeForce RTX 4080 Super Gaming OC,1099.99
GIGABYTE GeForce RTX 4080 Super Windforce V2,999.99
Gigabyte GT 730,49.99
Gigabyte Radeon RX 460 WindForce OC 2G,148.74
Gigabyte Radeon RX 460 WindForce OC 4G,172.31
Gigabyte Radeon RX 550 2G,74.99
Gigabyte Radeon RX 550 Gaming OC 2G,75.99
Gigabyte Radeon RX 5500 XT Gaming OC,175.99
Gigabyte Radeon RX 5500 XT Gaming OC,180.99
Gigabyte Radeon RX 5500 XT OC,179.99
Gigabyte Radeon RX 5500 XT OC,199.99
Gigabyte Radeon RX 560 Gaming OC 2G,89.99
Gigabyte Radeon RX 560 Gaming OC 4G,84.99
Gigabyte Radeon RX 560 OC 4G,138.18
Gigabyte Radeon RX 5600 XT Gaming OC,269.99
Gigabyte Radeon RX 5600 XT Windforce OC,246.99
Gigabyte Radeon RX 570 Aorus 4G,142.99
Gigabyte Radeon RX 570 Gaming 4G,109.99
Gigabyte Radeon RX 5700,349.99
Gigabyte Radeon RX 5700 Gaming OC,289.99
Gigabyte Radeon RX 5700 XT,349.99
Gigabyte Radeon RX 5700 XT Gaming OC,389.99
Gigabyte Radeon RX 580 Aorus 4G,229.99
Gigabyte Radeon RX 580 Aorus 8G,299.99
Gigabyte Radeon RX 580 Gaming 4G,319.99
Gigabyte Radeon RX 580 Gaming 8G,152.84
Gigabyte Radeon RX 590 Gaming 8G (Rev. 2.0),142.99
Gigabyte Radeon RX 6400 D6 Low Profile,149.99
Gigabyte Radeon RX 6400 Eagle,149.99
Gigabyte Radeon RX 6500 XT Eagle,169.99
Gigabyte Radeon RX 6500 XT Gaming OC,137.99
Gigabyte Radeon RX 6600 Eagle,239.99
Gigabyte Radeon RX 6600 XT Eagle,474.99
Gigabyte Radeon RX 6600 XT Gaming OC,549.99
Gigabyte Radeon RX 6600 XT Gaming Pro OC,550.99
Gigabyte Radeon RX 6650 XT Eagle,379.99
Gigabyte Radeon RX 6700 XT Eagle,369.99
Gigabyte Radeon RX 6700 XT Eagle OC,869.99
Gigabyte Radeon RX 6700 XT Gaming OC,885.35
Gigabyte Radeon RX 6800 Gaming OC,449.99
